,Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi-Major_Axis(AU),Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr,Semi-Major_Axis_km,Semi-Major_Axis_m,Stellar_Mass_kg,Orbital_Velocity_ms,Orbital_Velocity_proportional,Semi_Major_Axis_proportional,Planet_Radius_km,Planet_Radius_Earth_Radii
2339,2340,Kepler-28,Kepler-28 b,2,5.9123,0.062,0.321,472,4590,0.75,6,M0 V,9275200,9275200000,1.49E+30,103573.6541,10.35736541,92.752,22948.932,3.602092607
2340,2341,Kepler-28,Kepler-28 c,2,8.9858,0.081,0.303,472,4590,0.75,6,M0 V,12117600,12117600000,1.49E+30,90615.52981,9.061552981,121.176,21662.076,3.400106106
2385,2386,Kepler-296,Kepler-296 b,5,10.864384,0.079,0.144,226,3740,0.5,6.2,M2 V,11818400,11818400000,9.95E+29,74917.96434,7.491796434,118.184,10294.848,1.615892011
2386,2387,Kepler-296,Kepler-296 c,5,5.8416366,0.0521,0.178,226,3740,0.5,6.2,M2 V,7794160,7794160000,9.95E+29,92253.03277,9.225303277,77.9416,12725.576,1.997422069
2387,2388,Kepler-296,Kepler-296 d,5,19.850291,0.118,0.186,226,3740,0.5,6.2,M2 V,17652800,17652800000,9.95E+29,61299.72275,6.129972275,176.528,13297.512,2.087193847
2388,2389,Kepler-296,Kepler-296 e,5,34.14211,0.169,0.136,226,3740,0.5,6.2,M2 V,25282400,25282400000,9.95E+29,51221.95634,5.122195634,252.824,9722.912,1.526120232
2389,2390,Kepler-296,Kepler-296 f,5,63.33627,0.255,0.161,226,3740,0.5,6.2,M2 V,38148000,38148000000,9.95E+29,41699.36329,4.169936329,381.48,11510.212,1.80665704
2453,2454,Kepler-32,Kepler-32 b,5,5.90124,0.05,0.196,303,3900,0.58,6.1,M1 V,7480000,7480000000,1.15E+30,101424.6474,10.14246474,74.8,14012.432,2.19940857
2454,2455,Kepler-32,Kepler-32 c,5,8.7522,0.09,0.178,303,3900,0.58,6.1,M1 V,13464000,13464000000,1.15E+30,75597.46869,7.559746869,134.64,12725.576,1.997422069
2455,2456,Kepler-32,Kepler-32 d,5,22.7802,0.13,0.241,303,3900,0.58,6.1,M1 V,19448000,19448000000,1.15E+30,62900.89608,6.290089608,194.48,17229.572,2.704374823
2456,2457,Kepler-32,Kepler-32 e,5,2.896,0.033,0.134,303,3900,0.58,6.1,M1 V,4936800,4936800000,1.15E+30,124845.1106,12.48451106,49.368,9579.928,1.503677288
2457,2458,Kepler-32,Kepler-32 f,5,0.74296,0.013,0.073,303,3900,0.58,6.1,M1 V,1944800,1944800000,1.15E+30,198910.0985,19.89100985,19.448,5218.916,0.819167478
2613,2614,Kepler-38,Kepler-38 b,1,105.599,0.4632,0.384,600,5623,0.94,4.4,G4 V,69294720,69294720000,1.87E+30,42422.29534,4.242229534,692.9472,27452.928,4.309045362
2634,2635,Kepler-39,Kepler-39 b,1,21.08721,0.164,1.24,1200,6350,1.29,3.7,F7 V,24534400,24534400000,2.57E+30,83519.41484,8.351941484,245.344,88650.08,13.91462565
2658,2659,Kepler-40,Kepler-40 b,1,6.87349,0.08,1.17,2700,6510,1.48,3.5,F5 IV,11968000,11968000000,2.94E+30,128085.6203,12.80856203,119.68,83645.64,13.12912259
2681,2682,Kepler-41,Kepler-41 b,1,1.8555582,0.03101,1.29,770,5750,1.15,4.2,G2 V,4639096,4639096000,2.29E+30,181347.9075,18.13479075,46.39096,92224.68,14.47569926
2685,2686,Kepler-412,Kepler-412 b,1,1.7208604,0.02897,1.341,1056,5750,1.17,4.3,G3 V,4333912,4333912000,2.33E+30,189248.8264,18.92488264,43.33912,95870.772,15.04799435
2698,2699,Kepler-42,Kepler-42 b,3,1.2137672,0.0116,0.07,38.7,3068,0.13,6,M,1735360,1735360000,2.59E+29,99691.28484,9.969128484,17.3536,5004.44,0.785503061
2699,2700,Kepler-42,Kepler-42 c,3,0.45328509,0.006,0.065,38.7,3068,0.13,6,M,897600,897600000,2.59E+29,138615.1064,13.86151064,8.976,4646.98,0.729395699
2700,2701,Kepler-42,Kepler-42 d,3,1.865169,0.0154,0.051,38.7,3068,0.13,6,M,2303840,2303840000,2.59E+29,86521.85609,8.652185609,23.0384,3646.092,0.572295087
2701,2702,Kepler-421,Kepler-421 b,1,704.1984,1.219,0.371,320,5308,0.79,4.95,G9/K0,182362400,1.82362E+11,1.57E+30,23973.21082,2.397321082,1823.624,26523.532,4.163166222
2703,2704,Kepler-423,Kepler-423 b,1,2.6843285,0.03585,1.192,725,5560,0.85,4.4,G4 V,5363160,5363160000,1.69E+30,145003.8037,14.50038037,53.6316,85218.464,13.37599498
2706,2707,Kepler-425,Kepler-425 b,1,3.79701816,0.0464,0.978,650,5170,0.93,5.1,K1 V,6941440,6941440000,1.85E+30,133320.519,13.3320519,69.4144,69919.176,10.97459991
2707,2708,Kepler-426,Kepler-426 b,1,3.21751883,0.0414,1.09,880,5725,0.91,4.1,G1 V,6193440,6193440000,1.81E+30,139615.9505,13.96159505,61.9344,77926.28,12.2314048
2708,2709,Kepler-427,Kepler-427 b,1,10.290994,0.091,1.23,1100,5800,0.96,4.2,G2 V,13613600,13613600000,1.91E+30,96722.92735,9.672292735,136.136,87935.16,13.80241092
2709,2710,Kepler-428,Kepler-428 b,1,3.52563254,0.0433,1.08,720,5150,0.87,5.1,K1 V,6477680,6477680000,1.73E+30,133484.3005,13.34843005,64.7768,77211.36,12.11919008
2710,2711,Kepler-43,Kepler-43 b,1,3.0240949,0.046,1.219,1950,6041,1.32,3.8,F8 V,6881600,6881600000,2.63E+30,159522.7257,15.95227257,68.816,87148.748,13.67897473
2726,2727,Kepler-44,Kepler-44 b,1,3.2467293,0.0446,1.09,2250,5800,1.12,4.2,G2 IV,6672160,6672160000,2.23E+30,149229.9845,14.92299845,66.7216,77926.28,12.2314048
2731,2732,Kepler-444,Kepler-444 b,5,3.6001053,0.04178,0.036,35.7,5046,0.76,5,K,6250288,6250288000,1.51E+30,127009.7584,12.70097584,62.50288,2573.712,0.403973003
2732,2733,Kepler-444,Kepler-444 c,5,4.5458841,0.04881,0.044,35.7,5046,0.76,5,K,7301976,7301976000,1.51E+30,117507.8565,11.75078565,73.01976,3145.648,0.493744781
2733,2734,Kepler-444,Kepler-444 d,5,6.189392,0.06,0.047,35.7,5046,0.76,5,K,8976000,8976000000,1.51E+30,105985.312,10.5985312,89.76,3360.124,0.527409198
2734,2735,Kepler-444,Kepler-444 e,5,7.743493,0.0696,0.049,35.7,5046,0.76,5,K,10412160,10412160000,1.51E+30,98404.89179,9.840489179,104.1216,3503.108,0.549852143
2735,2736,Kepler-444,Kepler-444 f,5,9.740486,0.0811,0.066,35.7,5046,0.76,5,K,12132560,12132560000,1.51E+30,91161.37788,9.116137788,121.3256,4718.472,0.740617172
2742,2743,Kepler-447,Kepler-447 b,1,7.79430132,0.0769,1.65,283,5493,1,4.8,G8 V,11504240,11504240000,1.99E+30,107386.909,10.7386909,115.0424,117961.8,18.51542929
2745,2746,Kepler-45,Kepler-45 b,1,2.455239,0.03,0.96,333,3820,0.59,6,M,4488000,4488000000,1.17E+30,132062.6143,13.20626143,44.88,68632.32,10.7726134
2749,2750,Kepler-452,Kepler-452 b,1,384.843,1.046,0.145,548,5757,1.04,4.2,G2,156481600,1.56482E+11,2.07E+30,29693.76992,2.969376992,1564.816,10366.34,1.627113483
2862,2863,Kepler-539,Kepler-539 b,2,125.63243,0.4988,0.747,313,5820,1.05,4.2,G2 V,74620480,74620480000,2.09E+30,43206.18679,4.320618679,746.2048,53404.524,8.382439805
2976,2977,Kepler-62,Kepler-62 b,5,5.714932,0.0553,0.117,368,4925,0.69,5.2,K2 V,8272880,8272880000,1.37E+30,105190.4932,10.51904932,82.7288,8364.564,1.312912259
2977,2978,Kepler-62,Kepler-62 c,5,12.4417,0.0929,0.048,368,4925,0.69,5.2,K2 V,13897840,13897840000,1.37E+30,81157.9746,8.11579746,138.9784,3431.616,0.53863067
2978,2979,Kepler-62,Kepler-62 d,5,18.16406,0.12,0.174,368,4925,0.69,5.2,K2 V,17952000,17952000000,1.37E+30,71408.25726,7.140825726,179.52,12439.608,1.95253618
2979,2980,Kepler-62,Kepler-62 e,5,122.3874,0.427,0.144,368,4925,0.69,5.2,K2 V,63879200,63879200000,1.37E+30,37855.16292,3.785516292,638.792,10294.848,1.615892011
2980,2981,Kepler-62,Kepler-62 f,5,267.291,0.718,0.126,368,4925,0.69,5.2,K2 V,107412800,1.07413E+11,1.37E+30,29192.8728,2.91928728,1074.128,9007.992,1.413905509
3027,3028,Kepler-66,Kepler-66 b,1,17.815815,0.1352,0.25,1107,5962,1.04,4,G0 V,20225920,20225920000,2.07E+30,82592.92288,8.259292288,202.2592,17873,2.805368074
3038,3039,Kepler-67,Kepler-67 b,1,15.7259,0.1171,0.262,1107,5331,0.86,4.9,G9 V,17518160,17518160000,1.71E+30,80702.18435,8.070218435,175.1816,18730.904,2.940025742
3062,3063,Kepler-69,Kepler-69 b,2,13.722341,0.094,0.2,584,5638,0.81,4.4,G4 V,14062400,14062400000,1.61E+30,87416.43564,8.741643564,140.624,14298.4,2.244294459
3063,3064,Kepler-69,Kepler-69 c,2,242.4613,0.64,0.153,584,5638,0.81,4.4,G4 V,95744000,95744000000,1.61E+30,33501.71457,3.350171457,957.44,10938.276,1.716885261
3118,3119,Kepler-74,Kepler-74 b,1,7.340711,0.0781,0.96,1330,6000,1.18,3.8,F8 V,11683760,11683760000,2.35E+30,115752.3984,11.57523984,116.8376,68632.32,10.7726134
3129,3130,Kepler-75,Kepler-75 b,1,8.8849116,0.0818,1.05,1140,5200,0.91,5,K0 V,12237280,12237280000,1.81E+30,99324.99596,9.932499596,122.3728,75066.6,11.78254591
3145,3146,Kepler-76,Kepler-76 b,1,1.5449298,0.0274,1.36,844,6409,1.2,3,F,4099040,4099040000,2.39E+30,197074.2368,19.70742368,40.9904,97229.12,15.26120232
3158,3159,Kepler-77,Kepler-77 b,1,3.57878087,0.04501,0.96,570,5520,0.95,4.5,G5 V,6733496,6733496000,1.89E+30,136811.2491,13.68112491,67.33496,68632.32,10.7726134
3197,3198,Kepler-80,Kepler-80 b,6,7.05246,0.0648,0.238,357,4540,0.73,5.5,K5,9694080,9694080000,1.45E+30,99951.29812,9.995129812,96.9408,17015.096,2.670710407
3198,3199,Kepler-80,Kepler-80 c,6,9.52355,0.0792,0.244,357,4540,0.73,5.5,K5,11848320,11848320000,1.45E+30,90409.35086,9.040935086,118.4832,17444.048,2.73803924
3199,3200,Kepler-80,Kepler-80 d,6,3.07222,0.0372,0.136,357,4540,0.73,5.5,K5,5565120,5565120000,1.45E+30,131918.1256,13.19181256,55.6512,9722.912,1.526120232
3200,3201,Kepler-80,Kepler-80 e,6,4.64489,0.0491,0.143,357,4540,0.73,5.5,K5,7345360,7345360000,1.45E+30,114824.6673,11.48246673,73.4536,10223.356,1.604670538
3201,3202,Kepler-80,Kepler-80 f,6,0.9867873,0.0175,0.108,357,4540,0.73,5.5,K5,2618000,2618000000,1.45E+30,192334.3781,19.23343781,26.18,7721.136,1.211919008
3341,3342,Kepler-91,Kepler-91 b,1,6.24658,0.0731,1.367,1030,4550,1.31,5.3,K3,10935760,10935760000,2.61E+30,126064.1126,12.60641126,109.3576,97729.564,15.33975263
3452,3453,LHS 1140,LHS 1140 b,1,24.73712,0.0875,0.128,12.47,3131,0.15,6.45,M4.5 V,13090000,13090000000,2.98E+29,38990.25852,3.899025852,130.9,9150.976,1.436348454
3456,3457,MASCARA-1,MASCARA-1 b,1,2.14878,0.043,1.5,188.7,7554,1.72,2.8,A8,6432800,6432800000,3.42E+30,188340.8419,18.83408419,64.328,107238,16.83220844
3485,3486,NGTS-1,NGTS-1 b,1,2.647298,0.0326,1.33,224,3916,0.62,6,M0.5,4876960,4876960000,1.23E+30,129867.8218,12.98678218,48.7696,95084.36,14.92455815
3486,3487,NGTS-3 A,NGTS-3 A b,1,1.6753728,0.023,1.48,1010,5600,1.02,4.6,G6 V,3440800,3440800000,2.03E+30,198312.7695,19.83127695,34.408,105808.16,16.607779
3534,3535,OGLE-TR-113,OGLE-TR-113 b,1,1.4324752,0.02289,1.093,600,4790,0.78,5.4,K4 V,3424344,3424344000,1.55E+30,173835.6784,17.38356784,34.24344,78140.756,12.26506922
3535,3536,OGLE-TR-132,OGLE-TR-132 b,1,1.689868,0.03035,1.2,2500,6210,1.3,3.5,F5 V,4540360,4540360000,2.59E+30,194897.7566,19.48977566,45.4036,85790.4,13.46576676
3540,3541,PH1,PH1 b,1,138.317,0.652,0.551,1000,6407,1.53,3,F,97539200,97539200000,3.04E+30,45618.01979,4.561801979,975.392,39392.092,6.183031235
3542,3543,POTS-1,POTS-1 b,1,3.1606296,0.03734,0.941,1200,4400,0.69,5.5,K5 V,5586064,5586064000,1.37E+30,128012.3589,12.80123589,55.86064,67273.972,10.55940543
3582,3583,TrES-3,TrES-3 b,1,1.30618581,0.02282,1.336,228,5650,0.93,4.4,G4 V,3413872,3413872000,1.85E+30,190107.0252,19.01070252,34.13872,95513.312,14.99188699
3593,3594,WASP-10,WASP-10 b,1,3.0927616,0.03781,1.08,90,4675,0.75,5.5,K5 V,5656376,5656376000,1.49E+30,132630.0107,13.26300107,56.56376,77211.36,12.11919008
3596,3597,WASP-103,WASP-103 b,1,0.925542,0.01985,1.528,470,6110,1.22,3.8,F8 V,2969560,2969560000,2.43E+30,233460.9087,23.34609087,29.6956,109239.776,17.14640967
3597,3598,WASP-104,WASP-104 b,1,1.7554137,0.02918,1.137,143,5475,1.08,4.8,G8,4365328,4365328000,2.15E+30,181168.941,18.1168941,43.65328,81286.404,12.758814
3602,3603,WASP-113,WASP-113 b,1,4.54216875,0.05885,1.409,360,5890,1.32,4.1,G1,8803960,8803960000,2.63E+30,141035.4355,14.10354355,88.0396,100732.228,15.81105447
3603,3604,WASP-114,WASP-114 b,1,1.5487743,0.02851,1.339,460,5940,1.29,4,G0,4265096,4265096000,2.57E+30,200313.7486,20.03137486,42.65096,95727.788,15.0255514
3606,3607,WASP-119,WASP-119 b,1,2.49979,0.0363,1.4,333,5650,1.02,4.5,G5,5430480,5430480000,2.03E+30,157856.0695,15.78560695,54.3048,100088.8,15.71006121
3608,3609,WASP-120,WASP-120 b,1,3.6112706,0.0514,1.473,437,6450,1.39,3.5,F5,7689440,7689440000,2.76E+30,154860.3913,15.48603913,76.8944,105307.716,16.52922869
3609,3610,WASP-121,WASP-121 b,1,1.2749255,0.02544,1.865,270,6459,1.35,3.6,F6 V,3805824,3805824000,2.69E+30,216931.6115,21.69316115,38.05824,133332.58,20.92804583
3610,3611,WASP-123,WASP-123 b,1,2.9776412,0.04263,1.318,214,5740,1.17,4.5,G5,6377448,6377448000,2.33E+30,156009.0443,15.60090443,63.77448,94226.456,14.78990049
3611,3612,WASP-124,WASP-124 b,1,3.37265,0.0449,1.24,433,6050,1.07,3.9,F9,6717040,6717040000,2.13E+30,145372.825,14.5372825,67.1704,88650.08,13.91462565
3612,3613,WASP-126,WASP-126 b,1,3.2888,0.0449,0.96,234,5800,1.12,4.2,G2,6717040,6717040000,2.23E+30,148730.6078,14.87306078,67.1704,68632.32,10.7726134
3614,3615,WASP-129,WASP-129 b,1,5.748145,0.0628,0.93,246,5900,1,4.1,G1,9394880,9394880000,1.99E+30,118832.3511,11.88323511,93.9488,66487.56,10.43596924
3616,3617,WASP-130,WASP-130 b,1,11.55098,0.1012,0.89,180,5625,1.04,4.6,G6,15139520,15139520000,2.07E+30,95464.28522,9.546428522,151.3952,63627.88,9.987110344
3617,3618,WASP-131,WASP-131 b,1,5.322023,0.0607,1.22,250,6030,1.06,4,G0,9080720,9080720000,2.11E+30,124443.7526,12.44437526,90.8072,87220.24,13.6901962
3618,3619,WASP-132,WASP-132 b,1,7.133521,0.067,0.87,120,4775,0.8,5.4,K4,10023200,10023200000,1.59E+30,102901.5944,10.29015944,100.232,62198.04,9.762680898
3619,3620,WASP-133,WASP-133 b,1,2.176423,0.0345,1.21,547,5700,1.16,4.4,G4,5161200,5161200000,2.31E+30,172676.7869,17.26767869,51.612,86505.32,13.57798148
3620,3621,WASP-135,WASP-135 b,1,1.4013794,0.0243,1.3,300,5675,0.98,4.5,G5 V,3635280,3635280000,1.95E+30,189114.3188,18.91143188,36.3528,92939.6,14.58791399
3623,3624,WASP-139,WASP-139 b,1,5.924262,0.062,0.8,230,5310,0.92,5,K0,9275200,9275200000,1.83E+30,114712.9849,11.47129849,92.752,57193.6,8.977177837
3625,3626,WASP-140,WASP-140 b,1,2.2359835,0.0323,1.44,180,5260,0.9,5,K0,4832080,4832080000,1.79E+30,157193.4716,15.71934716,48.3208,102948.48,16.15892011
3626,3627,WASP-141,WASP-141 b,1,3.310651,0.0469,1.21,570,5900,1.25,3.9,F9,7016240,7016240000,2.49E+30,153738.6619,15.37386619,70.1624,86505.32,13.57798148
3627,3628,WASP-142,WASP-142 b,1,2.052868,0.0347,1.53,840,6010,1.33,3.8,F8,5191120,5191120000,2.65E+30,184363.7762,18.43637762,51.9112,109382.76,17.16885261
3630,3631,WASP-153,WASP-153 b,1,3.332609,0.048,1.55,430,5914,1.34,4,G0,7180800,7180800000,2.67E+30,157342.5891,15.73425891,71.808,110812.6,17.39328206
3631,3632,WASP-156,WASP-156 b,1,3.836169,0.0453,0.51,140,4910,0.84,5.3,K3,6776880,6776880000,1.67E+30,128234.5505,12.82345505,67.7688,36460.92,5.722950871
3634,3635,WASP-167,WASP-167 b,1,2.0219596,0.0365,1.58,381,7000,1.59,3.1,F1 V,5460400,5460400000,3.16E+30,196547.1006,19.65471006,54.604,112957.36,17.72992623
3637,3638,WASP-19,WASP-19 b,1,0.78883899,0.01634,1.392,250,5568,0.9,4.8,G8 V,2444464,2444464000,1.79E+30,221008.8885,22.10088885,24.44464,99516.864,15.62028944
3638,3639,WASP-2,WASP-2 b,1,2.152226,0.03138,1.071,166,5200,0.89,5.1,K1 V,4694448,4694448000,1.77E+30,158592.6461,15.85926461,46.94448,76567.932,12.01819683
3639,3640,WASP-20,WASP-20 b,1,4.8996284,0.06,1.462,210,5940,1.2,3.9,F9,8976000,8976000000,2.39E+30,133177.0865,13.31770865,89.76,104521.304,16.4057925
3640,3641,WASP-21,WASP-21 b,1,4.322482,0.052,1.07,242,5800,0.89,4.3,G3 V,7779200,7779200000,1.77E+30,123199.1874,12.31991874,77.792,76496.44,12.00697536
3646,3647,WASP-28,WASP-28 b,1,3.40883,0.04469,1.213,410,6150,1.02,3.8,F8,6685624,6685624000,2.03E+30,142268.7187,14.22687187,66.85624,86719.796,13.6116459
3662,3663,WASP-43,WASP-43 b,1,0.813475,0.0142,0.93,80,4400,0.58,5.7,K7 V,2124320,2124320000,1.15E+30,190319.9594,19.03199594,21.2432,66487.56,10.43596924
3672,3673,WASP-5,WASP-5 b,1,1.6284279,0.0267,1.087,300,5700,0.96,4.4,G4 V,3994320,3994320000,1.91E+30,178564.2433,17.85642433,39.9432,77711.804,12.19774039
3674,3675,WASP-52,WASP-52 b,1,1.7497798,0.0272,1.27,140,5000,0.87,5.2,K2 V,4069120,4069120000,1.73E+30,168418.4577,16.84184577,40.6912,90794.84,14.25126982
3680,3681,WASP-57,WASP-57 b,1,2.83891856,0.03769,1.05,455,5600,0.89,4.6,G6,5638424,5638424000,1.77E+30,144709.3012,14.47093012,56.38424,75066.6,11.78254591
3682,3683,WASP-59,WASP-59 b,1,7.919585,0.0697,0.775,125,4650,0.72,5.5,K5 V,10427120,10427120000,1.43E+30,95711.55473,9.571155473,104.2712,55406.3,8.69664103
3688,3689,WASP-64,WASP-64 b,1,1.5732918,0.02648,1.271,350,5400,1,4.7,G7,3961408,3961408000,1.99E+30,183001.8674,18.30018674,39.61408,90866.332,14.26249129
3689,3690,WASP-65,WASP-65 b,1,2.3114243,0.0334,1.112,310,5600,0.93,4.6,G6,4996640,4996640000,1.85E+30,157138.5541,15.71385541,49.9664,79499.104,12.47827719
3695,3696,WASP-70 A,WASP-70 A b,1,3.7130203,0.04853,1.164,245,5763,1.11,4.4,G4,7260088,7260088000,2.21E+30,142419.9587,14.24199587,72.60088,83216.688,13.06179375
3700,3701,WASP-75,WASP-75 b,1,2.484193,0.0375,1.27,260,6100,1.14,3.9,F9,5610000,5610000000,2.27E+30,164191.7394,16.41917394,56.1,90794.84,14.25126982
3701,3702,WASP-76,WASP-76 b,1,1.809886,0.033,1.83,120,6250,1.46,3.7,F7,4936800,4936800000,2.90E+30,198076.9635,19.80769635,49.368,130830.36,20.5352943
3707,3708,WASP-80,WASP-80 b,1,3.06785234,0.0344,0.999,60,4143,0.58,5.7,K7 V,5146240,5146240000,1.15E+30,122278.2704,12.22782704,51.4624,71420.508,11.21025082
3710,3711,WASP-83,WASP-83 b,1,4.971252,0.059,1.04,300,5510,1.11,4.8,G8,8826400,8826400000,2.21E+30,129166.5308,12.91665308,88.264,74351.68,11.67033119
3711,3712,WASP-84,WASP-84 b,1,8.5234865,0.0771,0.942,125,5314,0.84,5,K0,11534160,11534160000,1.67E+30,98293.99028,9.829399028,115.3416,67345.464,10.5706269
3715,3716,WASP-90,WASP-90 b,1,3.916243,0.0562,1.63,340,6430,1.55,3.6,F6,8407520,8407520000,3.08E+30,156391.1608,15.63911608,84.0752,116531.96,18.29099984
3716,3717,WASP-91,WASP-91 b,1,2.798581,0.037,1.03,150.72,4920,0.84,5.3,K3,5535200,5535200000,1.67E+30,141890.4914,14.18904914,55.352,73636.76,11.55811647
3717,3718,WASP-92,WASP-92 b,1,2.1746742,0.0348,1.461,530,6280,1.19,3.7,F7,5206080,5206080000,2.37E+30,174139.932,17.4139932,52.0608,104449.812,16.39457102
3718,3719,WASP-93,WASP-93 b,1,2.7325321,0.04211,1.597,250,6700,1.33,3.4,F4,6299656,6299656000,2.65E+30,167358.4757,16.73584757,62.99656,114172.724,17.92069126
3728,3729,WTS-1,WTS-1 b,1,3.352057,0.047,1.49,3200,6250,1.2,3.6,F6 V,7031200,7031200000,2.39E+30,150472.1775,15.04721775,70.312,106523.08,16.71999372
3729,3730,WTS-2,WTS-2 b,1,1.0187068,0.01855,1.363,1000,5000,0.82,5.2,K2 V,2775080,2775080000,1.63E+30,197992.8381,19.79928381,27.7508,97443.596,15.29486674
3734,3735,XO-2 N,XO-2 N b,1,2.61585922,0.03673,1.019,145.5,5332,0.97,5,K0 V,5494808,5494808000,1.93E+30,153034.6994,15.30346994,54.94808,72850.348,11.43468027
3739,3740,XO-5,XO-5 b,1,4.1877558,0.0515,1.14,260,5430,1.04,4.8,G8 V,7704400,7704400000,2.07E+30,133822.0156,13.38220156,77.044,81500.88,12.79247842
3740,3741,XO-6,XO-6 b,1,3.7650007,0.0815,2.07,232.72,6720,1.47,3.5,F5,12192400,12192400000,2.92E+30,126471.9966,12.64719966,121.924,147988.44,23.22844765
