,Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi-Major_Axis(AU),Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr,Semi-Major_Axis_km,Semi-Major_Axis_m,Stellar_Mass_kg,Orbital_Velocity_ms,Orbital_Velocity_proportional,Semi_Major_Axis_proportional,Planet_Radius_km,Planet_Radius_Earth_Radii
79,80,CoRoT-24,CoRoT-24 c,2,11.759,0.098,0.44,600,4950,0.91,5.1,K1 V,14660800,14660800000,1.81E+30,90744.88823,9.074488823,146.608,31456.48,4.93744781
80,81,CoRoT-25,CoRoT-25 b,1,4.86069,0.0578,1.08,1000,6040,1.09,3.9,F9,8646880,8646880000,2.17E+30,129319.4478,12.93194478,86.4688,77211.36,12.11919008
81,82,CoRoT-26,CoRoT-26 b,1,4.20474,0.0526,1.26,1670,5590,1.09,4.5,G5,7868960,7868960000,2.17E+30,135561.039,13.5561039,78.6896,90079.92,14.13905509
83,84,CoRoT-28,CoRoT-28 b,1,5.20851,0.0603,0.955,560,5150,1.01,4.85,G8/9 IV,9020880,9020880000,2.01E+30,121875.5371,12.18755371,90.2088,68274.86,10.71650604
84,85,CoRoT-29,CoRoT-29 b,1,2.85057,0.0386,0.9,765,5260,0.97,5,K0 V,5774560,5774560000,1.93E+30,149281.7531,14.92817531,57.7456,64342.8,10.09932507
91,92,CoRoT-8,CoRoT-8 b,1,6.21229,0.063,0.57,380,5080,0.88,5.1,K1 V,9424800,9424800000,1.75E+30,111297.542,11.1297542,94.248,40750.44,6.396239209
92,93,CoRoT-9,CoRoT-9 b,1,95.272656,0.4021,1.066,460,5625,0.96,4.3,G3 V,60154160,60154160000,1.91E+30,46013.26932,4.601326932,601.5416,76210.472,11.96208947
98,99,EPIC 211945201,EPIC 211945201 b,1,19.49213,0.148,0.546,182.6,6025,1.18,4,G0,22140800,22140800000,2.35E+30,84086.1867,8.40861867,221.408,39034.632,6.126923874
107,108,GJ 1214,GJ 1214 b,1,1.58040456,0.01411,0.254,12.95,3026,0.15,6.45,M4.5,2110856,2110856000,2.98E+29,97094.94821,9.709494821,21.10856,18158.968,2.850253963
127,128,GJ 3470,GJ 3470 b,1,3.3366487,0.031,0.346,25.2,3652,0.51,6.15,M1.5,4637600,4637600000,1.01E+30,120786.599,12.0786599,46.376,24736.232,3.882629415
160,161,GJ 9827,GJ 9827 b,3,1.2089802,0.01888,0.145,30.32,4269,0.61,5.5,K5 V,2824448,2824448000,1.21E+30,169269.392,16.9269392,28.24448,10366.34,1.627113483
161,162,GJ 9827,GJ 9827 c,3,3.648083,0.03942,0.113,30.32,4269,0.61,5.5,K5 V,5897232,5897232000,1.21E+30,117144.2886,11.71442886,58.97232,8078.596,1.268026369
162,163,GJ 9827,GJ 9827 d,3,6.201467,0.05615,0.185,30.32,4269,0.61,5.5,K5 V,8400040,8400040000,1.21E+30,98153.21941,9.815321941,84.0004,13226.02,2.075972375
166,167,HAT-P-1,HAT-P-1 b,1,4.46529976,0.05561,1.319,139,5980,1.15,4,G0 V,8319256,8319256000,2.29E+30,135421.3018,13.54213018,83.19256,94297.948,14.80112196
167,168,HAT-P-11,HAT-P-11 b,2,4.88780244,0.05254,0.389,37.81,4780,0.81,5.4,K4,7859984,7859984000,1.61E+30,116926.2407,11.69262407,78.59984,27810.388,4.365152723
169,170,HAT-P-12,HAT-P-12 b,1,3.2130598,0.0384,0.959,142.5,4650,0.73,5.4,K4,5744640,5744640000,1.45E+30,129840.545,12.9840545,57.4464,68560.828,10.76139193
