Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi_Major_Axis_AU,Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr
3283,Kepler-858,Kepler-858 b,1,76.13602028,,0.434,296,5653,0.96,,
3284,Kepler-859,Kepler-859 b,1,20.38177573,,0.276,915,5020,0.81,,
3285,Kepler-860,Kepler-860 b,1,5.10137945,,0.289,1295,5836,1.04,,
3286,Kepler-861,Kepler-861 b,1,3.94963138,,0.203,806,5047,0.82,,
3287,Kepler-862,Kepler-862 b,1,3.14866453,,0.197,806,5333,0.88,,
3288,Kepler-863,Kepler-863 b,1,15.59461874,,0.259,1145,5678,0.96,,
3289,Kepler-864,Kepler-864 b,1,5.83376092,,0.214,1573,5754,1,,
3290,Kepler-865,Kepler-865 b,1,14.16399294,,0.222,664,5570,0.93,,
3291,Kepler-866,Kepler-866 b,1,2.61703254,,0.145,690,4751,0.75,,
3292,Kepler-867,Kepler-867 b,1,150.242127,,0.414,824,5541,0.92,,
3293,Kepler-868,Kepler-868 b,1,5.03251791,,0.183,1269,5614,0.93,,
3294,Kepler-869,Kepler-869 b,1,40.4287755,,0.322,957,5664,0.97,,
3295,Kepler-87,Kepler-87 b,2,114.73635,0.481,1.204,1525,5600,1.1,,
3296,Kepler-87,Kepler-87 c,2,191.2318,0.676,0.548,1525,5600,1.1,,
3297,Kepler-870,Kepler-870 b,1,21.3587621,,0.248,1231,5857,1.01,,
3298,Kepler-871,Kepler-871 b,1,22.0459018,,0.334,1695,5993,1.11,,
3299,Kepler-872,Kepler-872 b,1,2.57885507,,0.178,1114,5902,1.05,,
3300,Kepler-873,Kepler-873 b,1,20.5533844,,0.335,1397,6163,1.18,,
3301,Kepler-874,Kepler-874 b,1,40.0686727,,0.352,1072,6020,1.09,,
3302,Kepler-875,Kepler-875 b,1,27.5073799,,0.259,1244,5958,1.06,,
3303,Kepler-876,Kepler-876 b,1,5.14438011,,0.128,735,5060,0.81,,
3304,Kepler-877,Kepler-877 b,1,18.45847097,,0.189,572,5261,0.85,,
3305,Kepler-878,Kepler-878 b,1,25.9422033,,0.172,567,5044,0.81,,
3306,Kepler-879,Kepler-879 b,1,33.3855938,,0.229,772,5792,1.02,,
3307,Kepler-880,Kepler-880 b,1,7.71468975,,0.237,673,6761,1.46,,
3308,Kepler-881,Kepler-881 b,1,4.44448017,,0.159,1364,5961,1.06,,
3309,Kepler-882,Kepler-882 b,1,3.98953967,,0.11,525,5476,0.9,,
3310,Kepler-883,Kepler-883 b,1,12.98495573,,0.159,549,6116,1.06,,
3311,Kepler-884,Kepler-884 b,1,5.69919514,,0.11,420,5715,1,,
3312,Kepler-885,Kepler-885 b,1,18.11472949,,0.223,632,6187,1.21,,
3313,Kepler-886,Kepler-886 b,1,6.24146367,,0.136,857,6098,1.1,,
3314,Kepler-887,Kepler-887 b,2,20.42228798,,0.164,831,6194,1.19,,
3315,Kepler-887,Kepler-887 c,2,7.63846023,,0.101,831,6194,1.19,,
3316,Kepler-888,Kepler-888 b,1,70.6979061,,0.157,413,5875,0.97,,
3317,Kepler-889,Kepler-889 b,1,3.744439,,0.097,513,5961,1.14,,
3318,Kepler-890,Kepler-890 b,1,52.75875577,,0.793,1387,5954,1.09,,
3319,Kepler-891,Kepler-891 b,1,53.44945593,,0.572,1372,5887,1.06,,
3320,Kepler-892,Kepler-892 b,1,13.7521072,,0.251,640,4747,0.75,,
3321,Kepler-893,Kepler-893 b,1,6.33855761,,0.27,1216,5820,1,,
3322,Kepler-894,Kepler-894 b,1,9.803224,,0.248,1090,5603,0.87,,
