,Row_ID,Host_Name,Planet_Name,Number_of_Planets_in_System,Orbital_Period_days,Semi_Major_Axis_AU,Planet_Radius_jupiter_Radii,Distance_to_Star_pc,Effective_temperature_K,Stellar_Mass_solar_Mass,st_sp,st_spstr,Semi_Major_Axis_km,Semi_Major_Axis_m,Stellar_Mass_kg,Orbital_Velocity_ms,Orbital_Velocity_proportional,Semi_Major_Axis_proportional,Planet_Radius_km,Planet_Radius_Earth_Radii,Distance_to_Star_ly,minimum_Travel_Time_yr
177,178,HAT-P-18,HAT-P-18 b,1,5.508023000000001,0.0559,0.995,166.0,4803.0,0.77,5.2,K2,8362640.0,8362640000.0,1.53153e+30,110523.33227307339,11.05233322730734,83.6264,71134.54,11.165364934861088,541.16,52933492.30187398
178,179,HAT-P-19,HAT-P-19 b,1,4.0087779999999995,0.0466,1.1320000000000001,215.0,4990.0,0.84,5.1,K1,6971360.0,6971360000.0,1.6707599999999997e+30,126433.21934661937,12.643321934661937,69.7136,80928.944,12.702706639460054,700.9,68558438.8247163
180,181,HAT-P-20,HAT-P-20 b,1,2.875317,0.0361,0.867,70.0,4595.0,0.76,5.3,K3,5400560.0,5400560000.0,1.51164e+30,136636.8077235427,13.66368077235427,54.0056,61983.564,9.72901648092921,228.2,22321352.175489027
185,186,HAT-P-25,HAT-P-25 b,1,3.652836,0.0466,1.19,297.0,5500.0,1.01,4.5,G5,6971360.0,6971360000.0,2.00889e+30,138637.98586131862,13.863798586131862,69.7136,85075.48,13.353552032647935,968.2199999999999,94706308.51600344
187,188,HAT-P-27,HAT-P-27 b,1,3.039577,0.04,1.02,204.0,5300.0,0.94,4.8,G8,5984000.0,5984000000.0,1.8696599999999998e+30,144360.52170615317,14.436052170615318,59.84,72921.84,11.445901742269658,665.04,65050797.76856803
188,189,HAT-P-28,HAT-P-28 b,1,3.257215,0.0434,1.212,395.0,5680.0,1.02,4.3,G3,6492640.0,6492640000.0,2.02878e+30,144367.59872268836,14.436759872268835,64.9264,86648.304,13.600424423167478,1287.6999999999998,125956201.56168807
221,222,HAT-P-65,HAT-P-65 b,1,2.6054552,0.03951,1.89,841.0,5835.0,1.21,4.2,G2,5910696.000000001,5910696000.000001,2.4066899999999998e+30,164798.66227866738,16.47986622786674,59.10696000000001,135119.88,21.2085826400879,2741.66,268175102.56551817
222,223,HAT-P-66,HAT-P-66 b,1,2.972086,0.04363,1.59,927.0,6002.0,1.25,4.0,G0,6527048.0,6527048000.0,2.48625e+30,159395.81394666326,15.939581394666325,65.27048,113672.28,17.84214095118506,3022.02,295598478.0954047
233,234,HATS-15,HATS-15 b,1,1.74748753,0.02712,1.105,689.0,5311.0,0.87,4.9,G9 V,4057151.9999999995,4057151999.9999995,1.7304299999999998e+30,168666.6796179814,16.86666796179814,40.57151999999999,78998.66,12.399726887458797,2246.14,219705880.698742
234,235,HATS-16,HATS-16 b,1,2.686502,0.03744,1.3,774.0,5738.0,0.97,4.3,G3 V,5601024.0,5601024000.0,1.92933e+30,151576.70387988686,15.157670387988686,56.01024,92939.6,14.587913985245645,2523.24,246810379.76897866
235,236,HATS-17,HATS-17 b,1,16.254610999999997,0.1308,0.777,339.0,5846.0,1.13,4.0,G V,19567680.0,19567680000.0,2.2475699999999998e+30,87528.57569847214,8.752857569847214,195.6768,55549.284,8.719083974258359,1105.1399999999999,108099119.82129686
236,237,HATS-18,HATS-18 b,1,0.8378434000000001,0.01761,1.337,645.0,5600.0,1.04,4.0,G V,2634456.0,2634456000.0,2.06856e+30,228850.30913801756,22.885030913801756,26.34456,95584.804,15.00310846021033,2102.7,205675316.4741489
237,238,HATS-2,HATS-2 b,1,1.354133,0.023,1.168,360.0,5227.0,0.88,5.0,K,3440800.0,3440800000.0,1.75032e+30,184200.97719610503,18.420097719610503,34.408,83502.65599999999,13.106679642128393,1173.6,114795525.47394356
238,239,HATS-22,HATS-22 b,1,4.7228124000000005,0.05025,0.953,207.9,4803.0,0.76,5.0,K V,7517400.0,7517400000.0,1.51164e+30,115811.92351490638,11.581192351490637,75.174,68131.876,10.694063098414691,677.754,66294415.96120241
239,240,HATS-23,HATS-23 b,1,2.1605156,0.03397,1.86,747.0,5780.0,1.12,4.0,G V,5081912.0,5081912000.0,2.22768e+30,170991.9833100479,17.09919833100479,50.81912,132975.12,20.871938471197613,2435.22,238200715.35843295
240,241,HATS-24,HATS-24 b,1,1.3484954,0.02547,1.4869999999999999,510.0,6346.0,1.21,3.0,F V,3810312.0,3810312000.0,2.4066899999999998e+30,205254.5175169861,20.525451751698608,38.10312,106308.60399999999,16.686329304661747,1662.6,162626994.42142007
241,242,HATS-25,HATS-25 b,1,4.2986432,0.051629999999999995,1.26,466.0,5715.0,0.99,4.0,G,7723847.999999999,7723847999.999999,1.96911e+30,130401.0374330887,13.04010374330887,77.23848,90079.92,14.139055093391931,1519.1599999999999,148596430.19682693
242,243,HATS-26,HATS-26 b,1,3.3023881,0.04735,1.75,907.0,6071.0,1.3,3.0,F,7083560.000000001,7083560000.000001,2.5857e+30,156036.49856221373,15.603649856221374,70.83560000000001,125111.0,19.637576518599907,2956.8199999999997,289220948.90240777
243,244,HATS-27,HATS-27 b,1,4.6370379999999995,0.0611,1.5,840.0,6438.0,1.42,3.0,F,9140560.0,9140560000.0,2.82438e+30,143561.53022095104,14.356153022095103,91.4056,107238.0,16.832208444514205,2738.3999999999996,267856226.10586828
244,245,HATS-28,HATS-28 b,1,3.1810781,0.04131,1.194,521.0,5498.0,0.93,4.0,G,6179976.0,6179976000.0,1.84977e+30,141295.5188540924,14.12955188540924,61.79976,85361.44799999999,13.398437921833306,1698.4599999999998,166134635.47756833
245,246,HATS-29,HATS-29 b,1,4.605874900000001,0.05475,1.251,351.0,5670.0,1.03,4.0,G,8190600.0,8190600000.0,2.04867e+30,129163.8740174011,12.91638740174011,81.906,89436.492,14.038061842724847,1144.26,111925637.33709499
247,248,HATS-30,HATS-30 b,1,3.1743516,0.043539999999999995,1.175,339.0,5943.0,1.09,4.0,G,6513583.999999999,6513583999.999999,2.16801e+30,148999.0667981201,14.899906679812009,65.13583999999999,84003.1,13.185229948202794,1105.1399999999999,108099119.82129686
253,254,HATS-36,HATS-36 b,1,4.1752387,0.05425,1.235,962.0,6149.0,1.22,4.0,G0 V,8115800.0,8115800000.0,2.4265799999999998e+30,141219.46303777915,14.121946303777914,81.158,88292.62000000001,13.858518285983363,3136.12,306759154.1831492
255,256,HATS-4,HATS-4 b,1,2.516729,0.0362,1.02,420.0,5403.0,1.0,4.0,G,5415520.0,5415520000.0,1.989e+30,156516.53560127382,15.651653560127382,54.1552,72921.84,11.445901742269658,1369.1999999999998,133928113.05293414
263,264,HATS-5,HATS-5 b,1,4.763387000000001,0.0542,0.912,257.0,5304.0,0.94,4.0,G,8108320.0,8108320000.0,1.8696599999999998e+30,124016.30718648154,12.401630718648155,81.0832,65200.704000000005,10.233982734264638,837.8199999999999,81951250.1300097
268,269,HATS-6,HATS-6 b,1,3.3252725,0.03623,0.998,148.4,3724.0,0.57,6.1,M1 V,5420008.0,5420008000.0,1.1337299999999999e+30,118118.45904047089,11.81184590404709,54.20008,71349.016,11.199029351750118,483.784,47321266.612036735
269,270,HATS-7,HATS-7 b,1,3.185315,0.040119999999999996,0.563,257.0,4985.0,0.85,5.2,K2,6001951.999999999,6001951999.999999,1.6906499999999997e+30,137070.34707122092,13.707034707122093,60.01951999999999,40249.996,6.317688902840998,837.8199999999999,81951250.1300097
296,297,HD 106315,HD 106315 b,2,9.55804,0.0905,0.207,109.7,6277.0,1.08,3.5,F5 V,13538800.0,13538800000.0,2.14812e+30,102873.16460565368,10.287316460565368,135.388,14798.844,2.32284476534296,357.622,34980747.6235878
297,298,HD 106315,HD 106315 c,2,21.057879999999997,0.1533,0.385,109.7,6277.0,1.08,3.5,F5 V,22933680.0,22933680000.0,2.14812e+30,79041.52523364754,7.904152523364754,229.3368,27524.420000000002,4.32026683409198,357.622,34980747.6235878
536,537,HD 219134,HD 219134 b,6,3.092926,0.03876,0.14300000000000002,6.55,4699.0,0.81,5.3,K3 V,5798496.0,5798496000.0,1.61109e+30,136133.53968673045,13.613353968673046,57.98496,10223.356000000002,1.6046705383770212,21.352999999999998,2088640.8107064732
537,538,HD 219134,HD 219134 c,6,6.7645800000000005,0.0653,0.135,6.55,4699.0,0.81,5.3,K3 V,9768880.0,9768880000.0,1.61109e+30,104881.8720569751,10.48818720569751,97.6888,9651.42,1.5148987600062784,21.352999999999998,2088640.8107064732
538,539,HD 219134,HD 219134 d,6,46.858999999999995,0.237,0.14400000000000002,6.55,4699.0,0.81,5.3,K3 V,35455200.0,35455200000.0,1.61109e+30,55053.23556054354,5.505323556054353,354.552,10294.848000000002,1.6158920106733639,21.352999999999998,2088640.8107064732
539,540,HD 219134,HD 219134 f,6,22.717,0.1463,0.11699999999999999,6.55,4699.0,0.81,5.3,K3 V,21886480.000000004,21886480000.000004,1.61109e+30,70070.44218200837,7.007044218200837,218.86480000000003,8364.564,1.312912258672108,21.352999999999998,2088640.8107064732
